,Unnamed: 0,workerId,conditionCE,conditionHeadN,level,arrayTraining,seenInTraining,participantText,compositionalAnswer,encodingCorrected,encodingCompositional,correctness,consonants,prepMGloss,prepRGloss,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
942,1164,A12,center-embedding,head final,3,"[[1,[1]],0]",False,rae moy toltul vivin vivin,rae moy toltul vivin vivin,rmtvv,rmtvv,1.0,tvsk,horiz,atop,vrvmt,vrvrt,vrvmt,vrvrt,tmvrv,trvrv,tmvrv,trvrv,tmvrv,trvrv,tmvrv,trvrv,vrvmt,vrvrt,vrvmt,vrvrt,vvtmr,vvtrr,vvtmr,vvtrr,tvvrm,tvvrr,tvvrm,tvvrr,rmtvv,rrtvv,rmtvv,rrtvv,mrvvt,rrvvt,mrvvt,rrvvt,rmvvt,rrvvt,rmvvt,rrvvt,mrtvv,rrtvv,mrtvv,rrtvv,vvtrm,vvtrr,vvtrm,vvtrr,tvvmr,tvvrr,tvvmr,tvvrr,mrtvv,rrtvv,mrtvv,rrtvv,rmvvt,rrvvt,rmvvt,rrvvt,tvvmr,tvvrr,tvvmr,tvvrr,vvtrm,vvtrr,vvtrm,vvtrr
938,1160,A12,center-embedding,head final,3,"[[1,[2]],2]",True,moy rae sasan sasan vivin,rae moy sasan sasan vivin,mrssv,rmssv,0.8,tvsk,horiz,atop,vrsms,vrsrs,srvms,srvrs,smvrs,srvrs,smsrv,srsrv,smsrv,srsrv,smvrs,srvrs,srvms,srvrs,vrsms,vrsrs,vssmr,vssrr,svsmr,svsrr,svsrm,svsrr,ssvrm,ssvrr,rmssv,rrssv,rmsvs,rrsvs,mrsvs,rrsvs,mrvss,rrvss,rmvss,rrvss,rmsvs,rrsvs,mrsvs,rrsvs,mrssv,rrssv,vssrm,vssrr,svsrm,svsrr,svsmr,svsrr,ssvmr,ssvrr,mrssv,rrssv,mrsvs,rrsvs,rmsvs,rrsvs,rmvss,rrvss,ssvmr,ssvrr,svsmr,svsrr,svsrm,svsrr,vssrm,vssrr
940,1162,A12,center-embedding,head final,3,"[0,[[1,1]]]",False,moy rae vivin vivin toltul,rae moy vivin vivin toltul,mrvvt,rmvvt,0.8,tvsk,horiz,atop,trvmv,tmvrv,vmvrt,vrvmt,trvmv,tmvrv,vmvrt,vrvmt,vmvrt,vrvmt,trvmv,tmvrv,vmvrt,vrvmt,trvmv,tmvrv,tvvmr,tvvrm,vvtrm,vvtmr,tvvmr,tvvrm,vvtrm,vvtmr,rmvvt,mrvvt,mrtvv,rmtvv,rmvvt,mrvvt,mrtvv,rmtvv,rmtvv,mrtvv,mrvvt,rmvvt,rmtvv,mrtvv,mrvvt,rmvvt,tvvrm,tvvmr,vvtmr,vvtrm,tvvrm,tvvmr,vvtmr,vvtrm,mrvvt,rmvvt,rmtvv,mrtvv,mrvvt,rmvvt,rmtvv,mrtvv,vvtmr,vvtrm,tvvrm,tvvmr,vvtmr,vvtrm,tvvrm,tvvmr
939,1161,A12,center-embedding,head final,3,"[[0,3],[1]]",True,moy rae vivin koto toltul,moy rae vivin koto toltul,mrvkt,mrvkt,1.0,tvsk,horiz,atop,tmkrv,tmkmv,vrtmk,vmtmk,kmtrv,kmtmv,vrkmt,vmkmt,vrkmt,vmkmt,kmtrv,kmtmv,vrtmk,vmtmk,tmkrv,tmkmv,tkvrm,tkvmm,vtkmr,vtkmm,ktvrm,ktvmm,vktmr,vktmm,mrvkt,mmvkt,rmktv,mmktv,mrvtk,mmvtk,rmtkv,mmtkv,mrtkv,mmtkv,rmvtk,mmvtk,mrktv,mmktv,rmvkt,mmvkt,tkvmr,tkvmm,vtkrm,vtkmm,ktvmr,ktvmm,vktrm,vktmm,rmvkt,mmvkt,mrktv,mmktv,rmvtk,mmvtk,mrtkv,mmtkv,vktrm,vktmm,ktvmr,ktvmm,vtkrm,vtkmm,tkvmr,tkvmm
945,1167,A12,center-embedding,head final,4,"[1,[[2,[2,1]]]]",False,moy rae rae rae vivin sasan sasan,rae moy moy vivin sasan sasan vivin,mrrrvss,rmmvssv,0.42857142857142894,tvsk,horiz,atop,vrsmsmv,vmsrsmv,smsmvrv,srsmvmv,vrvmsms,vmvmsrs,vmsmsrv,vmsrsmv,vmsmsrv,vmsrsmv,vrvmsms,vmvmsrs,smsmvrv,srsmvmv,vrsmsmv,vmsrsmv,vssvmmr,vssvmrm,ssvvrmm,ssvvmmr,vvssmmr,vvssrmm,vssvrmm,vssvmrm,rmmvssv,mrmvssv,mmrvvss,rmmvvss,rmmssvv,mmrssvv,mmrvssv,mrmvssv,rmmvssv,mrmvssv,mmrssvv,rmmssvv,rmmvvss,mmrvvss,mmrvssv,mrmvssv,vssvrmm,vssvmrm,ssvvmmr,ssvvrmm,vvssrmm,vvssmmr,vssvmmr,vssvmrm,mmrvssv,mrmvssv,rmmvvss,mmrvvss,mmrssvv,rmmssvv,rmmvssv,mrmvssv,vssvmmr,vssvmrm,vvssrmm,vvssmmr,ssvvmmr,ssvvrmm,vssvrmm,vssvmrm
941,1163,A12,center-embedding,head final,3,"[[3,3],0]",False,moy moy toltul koto koto,moy moy toltul koto koto,mmtkk,mmtkk,1.0,tvsk,horiz,atop,kmkmt,kmkrt,kmkmt,kmkrt,tmkmk,trkmk,tmkmk,trkmk,tmkmk,trkmk,tmkmk,trkmk,kmkmt,kmkrt,kmkmt,kmkrt,kktmm,kktrm,kktmm,kktrm,tkkmm,tkkmr,tkkmm,tkkmr,mmtkk,mrtkk,mmtkk,mrtkk,mmkkt,rmkkt,mmkkt,rmkkt,mmkkt,mrkkt,mmkkt,mrkkt,mmtkk,rmtkk,mmtkk,rmtkk,kktmm,kktmr,kktmm,kktmr,tkkmm,tkkrm,tkkmm,tkkrm,mmtkk,rmtkk,mmtkk,rmtkk,mmkkt,mrkkt,mmkkt,mrkkt,tkkmm,tkkrm,tkkmm,tkkrm,kktmm,kktmr,kktmm,kktmr
946,1168,A12,center-embedding,head final,4,"[[[3,1],[3]],3]",False,moy rae rae koto koto vivin koto,moy rae moy koto koto vivin koto,mrrkkvk,mrmkkvk,0.857142857142857,tvsk,horiz,atop,kmvrkmk,krvrkrk,krkmvmk,krkrvrk,kmvmkrk,krvrkrk,kmkrvmk,krkrvrk,kmkrvmk,krkrvrk,kmvmkrk,krvrkrk,krkmvmk,krkrvrk,kmvrkmk,krvrkrk,kvkkmrm,kvkkrrr,kkvkmmr,kkvkrrr,kvkkrmm,kvkkrrr,kkvkmrm,kkvkrrr,mrmkkvk,rrrkkvk,rmmkvkk,rrrkvkk,mmrkkvk,rrrkkvk,mrmkvkk,rrrkvkk,mrmkvkk,rrrkvkk,rmmkkvk,rrrkkvk,mmrkvkk,rrrkvkk,mrmkkvk,rrrkkvk,kvkkmrm,kvkkrrr,kkvkrmm,kkvkrrr,kvkkmmr,kvkkrrr,kkvkmrm,kkvkrrr,mrmkkvk,rrrkkvk,mmrkvkk,rrrkvkk,rmmkkvk,rrrkkvk,mrmkvkk,rrrkvkk,kkvkmrm,kkvkrrr,kvkkmmr,kvkkrrr,kkvkrmm,kkvkrrr,kvkkmrm,kvkkrrr
937,1159,A12,center-embedding,head final,3,"[1,[3,[3]]]",True,moy rae koto koto vivin,moy rae koto koto vivin,mrkkv,mrkkv,1.0,tvsk,horiz,atop,vmkrk,vrkrk,vmkrk,vrkrk,krkmv,krkrv,krkmv,krkrv,krkmv,krkrv,krkmv,krkrv,vmkrk,vrkrk,vmkrk,vrkrk,vkkrm,vkkrr,vkkrm,vkkrr,kkvmr,kkvrr,kkvmr,kkvrr,mrkkv,rrkkv,mrkkv,rrkkv,rmvkk,rrvkk,rmvkk,rrvkk,mrvkk,rrvkk,mrvkk,rrvkk,rmkkv,rrkkv,rmkkv,rrkkv,vkkmr,vkkrr,vkkmr,vkkrr,kkvrm,kkvrr,kkvrm,kkvrr,rmkkv,rrkkv,rmkkv,rrkkv,mrvkk,rrvkk,mrvkk,rrvkk,kkvrm,kkvrr,kkvrm,kkvrr,vkkmr,vkkrr,vkkmr,vkkrr
948,1170,A12,center-embedding,head final,4,"[[[0,1],0],[2]]",False,moy moy rae sasan toltul vivin toltul,moy moy rae sasan toltul vivin toltul,mmrstvt,mmrstvt,1.0,tvsk,horiz,atop,tmvmtrs,trvmtms,srtmvmt,smtrvmt,tmvmtrs,tmvrtms,srtmvmt,smtmvrt,srtmvmt,smtmvrt,tmvmtrs,tmvrtms,srtmvmt,smtrvmt,tmvmtrs,trvmtms,tvtsrmm,tvtsmmr,stvtmmr,stvtmrm,tvtsrmm,tvtsmrm,stvtmmr,stvtrmm,mmrstvt,rmmstvt,rmmtvts,mrmtvts,mmrstvt,mrmstvt,rmmtvts,mmrtvts,mmrtvts,rmmtvts,rmmstvt,mrmstvt,mmrtvts,mrmtvts,rmmstvt,mmrstvt,tvtsmmr,tvtsrmm,stvtrmm,stvtmrm,tvtsmmr,tvtsmrm,stvtrmm,stvtmmr,rmmstvt,mmrstvt,mmrtvts,mrmtvts,rmmstvt,mrmstvt,mmrtvts,rmmtvts,stvtrmm,stvtmmr,tvtsmmr,tvtsmrm,stvtrmm,stvtmrm,tvtsmmr,tvtsrmm
949,1171,A12,center-embedding,head final,4,"[[[2,0],1],2]",False,moy moy moy moy sasan vivin toltul,moy moy moy sasan vivin toltul sasan,mmmmsvt,mmmsvts,0.7142857142857142,tvsk,horiz,atop,smtmvms,srtmvrs,smtmvms,srtmvrs,smvmtms,srvmtrs,smvmtms,srvmtrs,smvmtms,srvmtrs,smvmtms,srvmtrs,smtmvms,srtmvrs,smtmvms,srtmvrs,stvsmmm,stvsrmr,stvsmmm,stvsrmr,svtsmmm,svtsrmr,svtsmmm,svtsrmr,mmmsvts,rmrsvts,mmmsvts,rmrsvts,mmmstvs,rmrstvs,mmmstvs,rmrstvs,mmmstvs,rmrstvs,mmmstvs,rmrstvs,mmmsvts,rmrsvts,mmmsvts,rmrsvts,stvsmmm,stvsrmr,stvsmmm,stvsrmr,svtsmmm,svtsrmr,svtsmmm,svtsrmr,mmmsvts,rmrsvts,mmmsvts,rmrsvts,mmmstvs,rmrstvs,mmmstvs,rmrstvs,svtsmmm,svtsrmr,svtsmmm,svtsrmr,stvsmmm,stvsrmr,stvsmmm,stvsrmr
950,1172,A12,center-embedding,head final,4,"[0,[3,[[0,[0]]]]]",False,moy rae rae toltul toltul koto toltul,moy rae rae toltul toltul koto toltul,mrrttkt,mrrttkt,1.0,tvsk,horiz,atop,tmkrtrt,trkrtrt,tmtrtrk,trtrtrk,krtrtmt,krtrtrt,trtrkmt,trtrkrt,trtrkmt,trtrkrt,krtrtmt,krtrtrt,tmtrtrk,trtrtrk,tmkrtrt,trkrtrt,tkttrrm,tkttrrr,tttkrrm,tttkrrr,ktttmrr,ktttrrr,ttktmrr,ttktrrr,mrrttkt,rrrttkt,mrrkttt,rrrkttt,rrmtttk,rrrtttk,rrmtktt,rrrtktt,mrrtktt,rrrtktt,mrrtttk,rrrtttk,rrmkttt,rrrkttt,rrmttkt,rrrttkt,tkttmrr,tkttrrr,tttkmrr,tttkrrr,ktttrrm,ktttrrr,ttktrrm,ttktrrr,rrmttkt,rrrttkt,rrmkttt,rrrkttt,mrrtttk,rrrtttk,mrrtktt,rrrtktt,ttktrrm,ttktrrr,ktttrrm,ktttrrr,tttkmrr,tttkrrr,tkttmrr,tkttrrr
951,1173,A12,center-embedding,head final,4,"[[[2,[1]],[2]],[3]]",False,rae rae rae rae koto sasan vivin,rae rae rae koto sasan vivin sasan,rrrrksv,rrrksvs,0.7142857142857142,tvsk,horiz,atop,srvrsrk,smvrsmk,krsrvrs,kmsrvms,srvrsrk,smvrsmk,krsrvrs,kmsrvms,krsrvrs,kmsrvms,srvrsrk,smvrsmk,krsrvrs,kmsrvms,srvrsrk,smvrsmk,svskrrr,svskmrm,ksvsrrr,ksvsmrm,svskrrr,svskmrm,ksvsrrr,ksvsmrm,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,svskrrr,svskmrm,ksvsrrr,ksvsmrm,svskrrr,svskmrm,ksvsrrr,ksvsmrm,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,ksvsrrr,ksvsmrm,svskrrr,svskmrm,ksvsrrr,ksvsmrm,svskrrr,svskmrm
952,1174,A12,center-embedding,head final,4,"[2,[0,[[2,3]]]]",False,moy rae moy koto sasan toltul sasan,moy rae moy koto sasan toltul sasan,mrmksts,mrmksts,1.0,tvsk,horiz,atop,smtrsmk,srtrsmk,smsmkrt,srsmkrt,trkmsms,trkmsrs,kmsrtms,kmsrtrs,kmsrtms,kmsrtrs,trkmsms,trkmsrs,smsmkrt,srsmkrt,smtrsmk,srtrsmk,stskmrm,stskmrr,ssktrmm,ssktrmr,tkssmmr,tkssrmr,kstsmrm,kstsrrm,mrmksts,rrmksts,mmrtkss,rmrtkss,rmmsskt,rmrsskt,mrmstsk,mrrstsk,mrmstsk,rrmstsk,mmrsskt,rmrsskt,rmmtkss,rmrtkss,mrmksts,mrrksts,stskmrm,stskrrm,ssktmmr,ssktrmr,tkssrmm,tkssrmr,kstsmrm,kstsmrr,mrmksts,mrrksts,rmmtkss,rmrtkss,mmrsskt,rmrsskt,mrmstsk,rrmstsk,kstsmrm,kstsmrr,tkssrmm,tkssrmr,ssktmmr,ssktrmr,stskmrm,stskrrm
955,1177,A12,center-embedding,head final,4,"[[[3,3],[0]],[2]]",False,moy rae rae sasan toltul koto koto,moy rae rae sasan toltul koto koto,mrrstkk,mrrstkk,1.0,tvsk,horiz,atop,kmkrtrs,krkrtms,srtrkmk,smtrkrk,kmkrtrs,krkrtms,srtrkmk,smtrkrk,srtrkmk,smtrkrk,kmkrtrs,krkrtms,srtrkmk,smtrkrk,kmkrtrs,krkrtms,kktsrrm,kktsmrr,stkkmrr,stkkrrm,kktsrrm,kktsmrr,stkkmrr,stkkrrm,mrrstkk,rrmstkk,rrmkkts,mrrkkts,mrrstkk,rrmstkk,rrmkkts,mrrkkts,mrrkkts,rrmkkts,rrmstkk,mrrstkk,mrrkkts,rrmkkts,rrmstkk,mrrstkk,kktsmrr,kktsrrm,stkkrrm,stkkmrr,kktsmrr,kktsrrm,stkkrrm,stkkmrr,rrmstkk,mrrstkk,mrrkkts,rrmkkts,rrmstkk,mrrstkk,mrrkkts,rrmkkts,stkkrrm,stkkmrr,kktsmrr,kktsrrm,stkkrrm,stkkmrr,kktsmrr,kktsrrm
953,1175,A12,center-embedding,head final,4,"[[[1,[1]],3],0]",False,rae moy moy toltul koto vivin vivin,rae moy moy toltul koto vivin vivin,rmmtkvv,rmmtkvv,1.0,tvsk,horiz,atop,vrvmkmt,vmvmkrt,vrvmkmt,vmvmkrt,tmkmvrv,trkmvmv,tmkmvrv,trkmvmv,tmkmvrv,trkmvmv,tmkmvrv,trkmvmv,vrvmkmt,vmvmkrt,vrvmkmt,vmvmkrt,vvktmmr,vvktrmm,vvktmmr,vvktrmm,tkvvrmm,tkvvmmr,tkvvrmm,tkvvmmr,rmmtkvv,mmrtkvv,rmmtkvv,mmrtkvv,mmrvvkt,rmmvvkt,mmrvvkt,rmmvvkt,rmmvvkt,mmrvvkt,rmmvvkt,mmrvvkt,mmrtkvv,rmmtkvv,mmrtkvv,rmmtkvv,vvktrmm,vvktmmr,vvktrmm,vvktmmr,tkvvmmr,tkvvrmm,tkvvmmr,tkvvrmm,mmrtkvv,rmmtkvv,mmrtkvv,rmmtkvv,rmmvvkt,mmrvvkt,rmmvvkt,mmrvvkt,tkvvmmr,tkvvrmm,tkvvmmr,tkvvrmm,vvktrmm,vvktmmr,vvktrmm,vvktmmr
954,1176,A12,center-embedding,head final,4,"[[[1,[0]],[0]],1]",False,rae rae moy vivin toltul toltul vivin,rae rae moy vivin toltul toltul vivin,rrmvttv,rrmvttv,1.0,tvsk,horiz,atop,vrtrtmv,vmtrtrv,trtrvmv,trtmvrv,vmvrtrt,vrvmtrt,vmtrtrv,vrtrtmv,vmtrtrv,vrtrtmv,vmvrtrt,vrvmtrt,trtrvmv,trtmvrv,vrtrtmv,vmtrtrv,vttvmrr,vttvrrm,ttvvmrr,ttvvrmr,vvttrrm,vvttrmr,vttvrrm,vttvmrr,rrmvttv,mrrvttv,rrmvvtt,rmrvvtt,mrrttvv,rmrttvv,mrrvttv,rrmvttv,rrmvttv,mrrvttv,rrmttvv,rmrttvv,mrrvvtt,rmrvvtt,mrrvttv,rrmvttv,vttvrrm,vttvmrr,ttvvrrm,ttvvrmr,vvttmrr,vvttrmr,vttvmrr,vttvrrm,mrrvttv,rrmvttv,mrrvvtt,rmrvvtt,rrmttvv,rmrttvv,rrmvttv,mrrvttv,vttvmrr,vttvrrm,vvttmrr,vvttrmr,ttvvrrm,ttvvrmr,vttvrrm,vttvmrr
947,1169,A12,center-embedding,head final,4,"[0,[[3,[[1,1]]]]]",False,rae rae moy vivin vivin koto toltul,rae rae moy vivin vivin koto toltul,rrmvvkt,rrmvvkt,1.0,tvsk,horiz,atop,trkrvmv,tmkmvrv,vmvrkrt,vrvmkmt,trkrvmv,tmkmvrv,vmvrkrt,vrvmkmt,vmvrkrt,vrvmkmt,trkrvmv,tmkmvrv,vmvrkrt,vrvmkmt,trkrvmv,tmkmvrv,tkvvmrr,tkvvrmm,vvktrrm,vvktmmr,tkvvmrr,tkvvrmm,vvktrrm,vvktmmr,rrmvvkt,mmrvvkt,mrrtkvv,rmmtkvv,rrmvvkt,mmrvvkt,mrrtkvv,rmmtkvv,rrmtkvv,mmrtkvv,mrrvvkt,rmmvvkt,rrmtkvv,mmrtkvv,mrrvvkt,rmmvvkt,tkvvrrm,tkvvmmr,vvktmrr,vvktrmm,tkvvrrm,tkvvmmr,vvktmrr,vvktrmm,mrrvvkt,rmmvvkt,rrmtkvv,mmrtkvv,mrrvvkt,rmmvvkt,rrmtkvv,mmrtkvv,vvktmrr,vvktrmm,tkvvrrm,tkvvmmr,vvktmrr,vvktrmm,tkvvrrm,tkvvmmr
936,1158,A12,center-embedding,head final,3,"[[1,[2]],[2]]",True,rae rae sasan sasan vivin,rae rae sasan sasan vivin,rrssv,rrssv,1.0,tvsk,horiz,atop,vrsrs,vrsms,srsrv,smsrv,vrsrs,vrsms,srsrv,smsrv,srsrv,smsrv,vrsrs,vrsms,srsrv,smsrv,vrsrs,vrsms,vssrr,vssmr,ssvrr,ssvrm,vssrr,vssmr,ssvrr,ssvrm,rrssv,rmssv,rrvss,mrvss,rrssv,rmssv,rrvss,mrvss,rrvss,rmvss,rrssv,mrssv,rrvss,rmvss,rrssv,mrssv,vssrr,vssrm,ssvrr,ssvmr,vssrr,vssrm,ssvrr,ssvmr,rrssv,mrssv,rrvss,rmvss,rrssv,mrssv,rrvss,rmvss,ssvrr,ssvmr,vssrr,vssrm,ssvrr,ssvmr,vssrr,vssrm
918,1140,A12,center-embedding,head final,1,2,True,sasan,sasan,s,s,1.0,tvsk,horiz,atop,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
934,1156,A12,center-embedding,head final,3,"[0,[[2,0]]]",True,rae moy toltul sasan toltul,rae moy toltul sasan toltul,rmtst,rmtst,1.0,tvsk,horiz,atop,trsmt,tmsrt,smtrt,srtmt,trtms,tmtrs,tmsrt,trsmt,tmsrt,trsmt,trtms,tmtrs,smtrt,srtmt,trsmt,tmsrt,tstmr,tstrm,sttrm,sttmr,ttsmr,ttsrm,tstrm,tstmr,rmtst,mrtst,mrtts,rmtts,rmstt,mrstt,mrtst,rmtst,rmtst,mrtst,mrstt,rmstt,rmtts,mrtts,mrtst,rmtst,tstrm,tstmr,sttmr,sttrm,ttsrm,ttsmr,tstmr,tstrm,mrtst,rmtst,rmtts,mrtts,mrstt,rmstt,rmtst,mrtst,tstmr,tstrm,ttsrm,ttsmr,sttmr,sttrm,tstrm,tstmr
935,1157,A12,center-embedding,head final,3,"[[3,2],[0]]",True,moy rae toltul sasan koto,moy rae toltul sasan koto,mrtsk,mrtsk,1.0,tvsk,horiz,atop,kmsrt,kmsmt,trkms,tmkms,smkrt,smkmt,trsmk,tmsmk,trsmk,tmsmk,smkrt,smkmt,trkms,tmkms,kmsrt,kmsmt,kstrm,kstmm,tksmr,tksmm,sktrm,sktmm,tskmr,tskmm,mrtsk,mmtsk,rmskt,mmskt,mrtks,mmtks,rmkst,mmkst,mrkst,mmkst,rmtks,mmtks,mrskt,mmskt,rmtsk,mmtsk,kstmr,kstmm,tksrm,tksmm,sktmr,sktmm,tskrm,tskmm,rmtsk,mmtsk,mrskt,mmskt,rmtks,mmtks,mrkst,mmkst,tskrm,tskmm,sktmr,sktmm,tksrm,tksmm,kstmr,kstmm
916,1138,A12,center-embedding,head final,1,0,True,toltul,toltul,t,t,1.0,tvsk,horiz,atop,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
917,1139,A12,center-embedding,head final,1,1,True,vivin,vivin,v,v,1.0,tvsk,horiz,atop,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
919,1141,A12,center-embedding,head final,1,3,True,koto,koto,k,k,1.0,tvsk,horiz,atop,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
920,1142,A12,center-embedding,head final,2,"[3,3]",True,moy moy moy,moy koto koto,mmm,mkk,0.33333333333333304,tvsk,horiz,atop,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kkm,kkr,kkm,kkr,kkm,kkr,kkm,kkr,mkk,rkk,mkk,rkk,mkk,rkk,mkk,rkk,mkk,rkk,mkk,rkk,mkk,rkk,mkk,rkk,kkm,kkr,kkm,kkr,kkm,kkr,kkm,kkr,mkk,rkk,mkk,rkk,mkk,rkk,mkk,rkk,kkm,kkr,kkm,kkr,kkm,kkr,kkm,kkr
922,1144,A12,center-embedding,head final,2,"[0,[1]]",True,vivin moy rae,rae vivin toltul,vmr,rvt,0.0,tvsk,horiz,atop,trv,tmv,vrt,vmt,trv,tmv,vrt,vmt,vrt,vmt,trv,tmv,vrt,vmt,trv,tmv,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,rtv,mtv,rvt,mvt,rtv,mtv,rvt,mvt,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,vtr,vtm,tvr,tvm,vtr,vtm,tvr,tvm
923,1145,A12,center-embedding,head final,2,"[3,[1]]",True,rae vivin koto,rae vivin koto,rvk,rvk,1.0,tvsk,horiz,atop,krv,kmv,vrk,vmk,krv,kmv,vrk,vmk,vrk,vmk,krv,kmv,vrk,vmk,krv,kmv,kvr,kvm,vkr,vkm,kvr,kvm,vkr,vkm,rvk,mvk,rkv,mkv,rvk,mvk,rkv,mkv,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,kvr,kvm,vkr,vkm,kvr,kvm,vkr,vkm,rvk,mvk,rkv,mkv,rvk,mvk,rkv,mkv,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm
